PETROL (GHp/Lt),DIESEL (GHp/Lt),LPG (GHp/Kg),KEROSENE (GHp/Lt),MGO LOCAL (GHp/Lt)
453.3,497.5,470.03,401.96,403.75
481.86,492.21,0,0,0
0,0,490.44,0,0
0,0,503.04,0,0
0,0,513.88,0,0
494,494,0,0,0
492.21,526.36,0,0,0
481.63,512.63,0,0,0
492,510.62,551.78,0,0
492,493,0,0,0
514.38,542.38,0,0,0
498.38,519.38,0,0,0
492,492,0,0,0
0,0,414.83,0,0
0,0,494.73,0,0
488.39,498.48,0,0,0
476.7,522.08,556.68,477.37,0
0,0,458.35,0,0
481.63,500.19,0,0,0
504.63,54.63,550.9,478.63,448.43
471,512,0,0,0
500.56,500.08,502.53,0,0
498,498,0,0,0
487,487,505.18,0,0
501.97,534.85,0,485.5,614.78
494,494,0,0,0
472.66,527.5,0,437.69,428.3
490,493,0,0,0
505.5,505.5,547,0,0
447.96,504.96,0,0,0
504.63,517.31,0,0,0
485,485,0,0,0
493.5,498.5,0,0,0
501.17,495.96,0,0,0
494.54,494.02,0,0,408.51
500.73,500.73,0,0,0
504.63,517.31,0,0,0
0,0,507.48,0,0
469.2,517.2,0,0,0
475.57,493.57,0,0,0
508.5,511.5,0,0,0
439.16,497.16,0,0,0
458.02,503.37,479.93,0,0
488.96,488.96,0,0,0
0,0,472.78,0,0
505,510,602,473,0
0,0,507.15,0,0
0,0,490,0,0
505.96,503.96,0,0,0
0,0,490.89,0,0
476,480,491.4,0,0
0,0,499,0,0
495,498,0,0,0
0,0,529,0,0
0,0,501.08,0,0
504.38,517.38,0,452.63,0
534.63,532.63,0,0,0
0,0,0,515.42,0
505.5,518.5,0,0,0
0,0,482.94,0,0
0,0,0,0,0
440.43,489.43,467.12,0,0
0,0,487.99,0,0
480,485,0,0,0
503.5,501.5,0,0,0
0,0,493.78,0,0
493,493,515.78,0,0
451.42,497.62,0,0,0
504.63,517.31,0,0,0
492,492,470,0,397
500,500,465,420,400
500,500,510,0,434
505.96,523.96,0,0,0
517.63,522.63,0,0,0
0,0,505.65,0,0
0,0,462.35,0,0
0,0,509.06,0,0
527.63,552.63,0,0,0
500.56,500.08,502.53,0,0
505,505,0,0,0
492,492,499.93,0,0
496.18,504.21,0,0,405.01
510,510,0,0,0
0,0,520.65,0,0
504.63,517.31,0,0,0
498,514.43,514.61,429.83,415.23
494,494,0,0,0
489,492,510.78,462.63,445.71
544.64,542.64,454.64,0,0
476.99,522.34,505.89,0,0
498.96,505.96,0,0,404.76
0,0,455.78,0,0
494,494,500,0,0
494,494,470,460,455
0,0,524.72,0,0
0,0,502.89,0,0
0,0,474.28,0,0
515.5,515.5,0,0,0
494.21,494.64,0,0,0
547.83,563.88,0,0,0
0,0,497.75,0,0
506.5,522.5,0,458.47,0
478.59,521.73,0,0,0
0,0,484,0,0
492,517.63,0,0,0
0,0,495.22,0,0
470,490,0,0,0
451.96,492.43,470.03,0,398.68
494.17,496.77,0,0,0
495,498,0,0,0
504.67,504.77,0,0,0
0,0,482.44,0,0
0,0,503.65,0,0
,,501.53,,
0,0,513.88,0,0
494,494,0,0,0
470.38,511.38,0,0,0
0,0,496.92,0,0
481.63,496.19,0,0,0
490,490,508.9,0,0
514.38,532.38,0,0,0
494,494,500,0,0
