PETROL (GHp/Lt),DIESEL (GHp/Lt),LPG (GHp/Kg),KEROSENE (GHp/Lt),MGO LOCAL (GHp/Lt)
453.3,497.5,470.03,401.96,403.75
481.86,492.21,470.03,401.96,403.75
481.86,492.21,490.44,401.96,403.75
481.86,492.21,503.04,401.96,403.75
481.86,492.21,513.88,401.96,403.75
494.0,494.0,513.88,401.96,403.75
492.21,526.36,513.88,401.96,403.75
481.63,512.63,513.88,401.96,403.75
492.0,510.62,551.78,401.96,403.75
492.0,493.0,551.78,401.96,403.75
514.38,542.38,551.78,401.96,403.75
498.38,519.38,551.78,401.96,403.75
492.0,492.0,551.78,401.96,403.75
492.0,492.0,414.83,401.96,403.75
492.0,492.0,494.73,401.96,403.75
488.39,498.48,494.73,401.96,403.75
476.7,522.08,556.68,477.37,403.75
476.7,522.08,458.35,477.37,403.75
481.63,500.19,458.35,477.37,403.75
504.63,54.63,550.9,478.63,448.43
471.0,512.0,550.9,478.63,448.43
500.56,500.08,502.53,478.63,448.43
498.0,498.0,502.53,478.63,448.43
487.0,487.0,505.18,478.63,448.43
501.97,534.85,505.18,485.5,614.78
494.0,494.0,505.18,485.5,614.78
472.66,527.5,505.18,437.69,428.3
490.0,493.0,505.18,437.69,428.3
505.5,505.5,547.0,437.69,428.3
447.96,504.96,547.0,437.69,428.3
504.63,517.31,547.0,437.69,428.3
485.0,485.0,547.0,437.69,428.3
493.5,498.5,547.0,437.69,428.3
501.17,495.96,547.0,437.69,428.3
494.54,494.02,547.0,437.69,408.51
500.73,500.73,547.0,437.69,408.51
504.63,517.31,547.0,437.69,408.51
504.63,517.31,507.48,437.69,408.51
469.2,517.2,507.48,437.69,408.51
475.57,493.57,507.48,437.69,408.51
508.5,511.5,507.48,437.69,408.51
439.16,497.16,507.48,437.69,408.51
458.02,503.37,479.93,437.69,408.51
488.96,488.96,479.93,437.69,408.51
488.96,488.96,472.78,437.69,408.51
505.0,510.0,602.0,473.0,408.51
505.0,510.0,507.15,473.0,408.51
505.0,510.0,490.0,473.0,408.51
505.96,503.96,490.0,473.0,408.51
505.96,503.96,490.89,473.0,408.51
476.0,480.0,491.4,473.0,408.51
476.0,480.0,499.0,473.0,408.51
495.0,498.0,499.0,473.0,408.51
495.0,498.0,529.0,473.0,408.51
495.0,498.0,501.08,473.0,408.51
504.38,517.38,501.08,452.63,408.51
534.63,532.63,501.08,452.63,408.51
534.63,532.63,501.08,515.42,408.51
505.5,518.5,501.08,515.42,408.51
505.5,518.5,482.94,515.42,408.51
505.5,518.5,482.94,515.42,408.51
440.43,489.43,467.12,515.42,408.51
440.43,489.43,487.99,515.42,408.51
480.0,485.0,487.99,515.42,408.51
503.5,501.5,487.99,515.42,408.51
503.5,501.5,493.78,515.42,408.51
493.0,493.0,515.78,515.42,408.51
451.42,497.62,515.78,515.42,408.51
504.63,517.31,515.78,515.42,408.51
492.0,492.0,470.0,515.42,397.0
500.0,500.0,465.0,420.0,400.0
500.0,500.0,510.0,420.0,434.0
505.96,523.96,510.0,420.0,434.0
517.63,522.63,510.0,420.0,434.0
517.63,522.63,505.65,420.0,434.0
517.63,522.63,462.35,420.0,434.0
517.63,522.63,509.06,420.0,434.0
527.63,552.63,509.06,420.0,434.0
500.56,500.08,502.53,420.0,434.0
505.0,505.0,502.53,420.0,434.0
492.0,492.0,499.93,420.0,434.0
496.18,504.21,499.93,420.0,405.01
510.0,510.0,499.93,420.0,405.01
510.0,510.0,520.65,420.0,405.01
504.63,517.31,520.65,420.0,405.01
498.0,514.43,514.61,429.83,415.23
494.0,494.0,514.61,429.83,415.23
489.0,492.0,510.78,462.63,445.71
544.64,542.64,454.64,462.63,445.71
476.99,522.34,505.89,462.63,445.71
498.96,505.96,505.89,462.63,404.76
498.96,505.96,455.78,462.63,404.76
494.0,494.0,500.0,462.63,404.76
494.0,494.0,470.0,460.0,455.0
494.0,494.0,524.72,460.0,455.0
494.0,494.0,502.89,460.0,455.0
494.0,494.0,474.28,460.0,455.0
515.5,515.5,474.28,460.0,455.0
494.21,494.64,474.28,460.0,455.0
547.83,563.88,474.28,460.0,455.0
547.83,563.88,497.75,460.0,455.0
506.5,522.5,497.75,458.47,455.0
478.59,521.73,497.75,458.47,455.0
478.59,521.73,484.0,458.47,455.0
492.0,517.63,484.0,458.47,455.0
492.0,517.63,495.22,458.47,455.0
470.0,490.0,495.22,458.47,455.0
451.96,492.43,470.03,458.47,398.68
494.17,496.77,470.03,458.47,398.68
495.0,498.0,470.03,458.47,398.68
504.67,504.77,470.03,458.47,398.68
504.67,504.77,482.44,458.47,398.68
504.67,504.77,503.65,458.47,398.68
504.67,504.77,513.88,458.47,398.68
494.0,494.0,513.88,458.47,398.68
470.38,511.38,513.88,458.47,398.68
470.38,511.38,496.92,458.47,398.68
481.63,496.19,496.92,458.47,398.68
490.0,490.0,508.9,458.47,398.68
514.38,532.38,508.9,458.47,398.68
494.0,494.0,500.0,458.47,398.68
493.0,494.0,493.0,458.47,398.68
493.0,494.0,409.83,458.47,398.68
493.0,494.0,491.73,458.47,398.68
494.9,502.23,491.73,458.47,398.68
478.0,519.64,556.68,477.37,398.68
478.0,519.64,459.35,477.37,398.68
478.0,519.64,480.73,477.37,398.68
481.63,496.19,480.73,477.37,398.68
479.3,533.63,510.9,479.63,448.43
472.0,509.0,510.9,479.63,448.43
496.98,494.98,497.53,479.63,448.43
504.67,504.77,497.53,479.63,448.43
504.67,504.77,489.92,479.63,448.43
487.0,487.0,505.18,479.63,448.43
530.64,522.98,645.78,494.5,448.43
494.0,494.0,645.78,494.5,448.43
479.17,520.77,645.78,494.5,448.43
490.0,493.0,645.78,430.09,420.57
496.5,496.5,527.0,430.09,420.57
495.96,513.96,514.9,430.09,420.57
504.32,526.9,514.9,430.09,420.57
492.0,493.99,514.9,430.09,420.57
492.0,493.99,489.92,430.09,420.57
485.0,485.0,489.92,430.09,420.57
447.5,494.5,489.92,430.09,420.57
494.0,494.0,489.92,430.09,420.57
492.0,490.0,489.92,430.09,404.49
500.73,500.73,489.92,430.09,404.49
504.39,526.9,489.92,430.09,404.49
504.39,526.9,497.48,430.09,404.49
469.2,518.2,497.48,430.09,404.49
455.57,488.57,497.48,430.09,404.49
508.5,511.5,497.48,430.09,404.49
435.13,485.16,497.48,430.09,404.49
460.33,501.93,479.93,430.09,404.49
488.93,490.96,479.93,430.09,404.49
490.0,490.0,479.93,430.09,404.49
490.0,490.0,471.78,430.09,404.49
510.0,515.0,602.0,490.0,404.49
510.0,515.0,507.15,490.0,404.49
510.0,515.0,490.0,490.0,404.49
491.96,489.96,490.0,490.0,404.49
494.9,520.23,490.0,490.0,404.49
494.9,520.23,501.89,490.0,404.49
476.0,480.0,491.4,490.0,404.49
476.0,480.0,492.0,490.0,404.49
495.0,498.0,492.0,490.0,404.49
495.0,498.0,472.0,490.0,404.49
494.93,522.38,472.0,477.63,404.49
530.63,528.63,472.0,477.63,404.49
